Site Name,Address 1,City,County,ZIP,site_type,Latitude,Longitude,id
Genesis PrimeCare - Texarkana Arkansas Clinic,1205 E 35th St,Texarkana,Miller,71854,Primary Care Site,40.7464842,-73.977844,1
Special Health Resources - All for Kids Clinic,300 E 6th St,Texarkana,Bowie,71854,Primary Care Site,33.4266216,-94.0402601,2
Community Healthcare Center - McKinney Clinic at Virginia Parkway,120 S Central Expressway,McKinney,Collin,75070,Primary Care Site,32.9502284,-96.7358306,3
Collin County Community Health Center,"2520 Avenue K, Suite 100",Plano,Collin,75074,Primary Care Site,41.5146916,-89.8887497,4
Health Services of North Texas - Plano Children's Medical Clinic,1407 14th St,Plano,Collin,75074,Primary Care Site,38.938678,-77.0327217,5
Health Services of North Texas - Collin County Center,2540 K Ave,Plano,Collin,75074,Primary Care Site,33.0324581,-96.697858,6
The West Side Clinic,"4100 W. 15th Street, Suite 112",Plano,Collin,75093,Primary Care Site,33.0167599,-96.7709934,7
Health Services of North Texas - Wylie Children's Medical Clinic,303 S Hwy 78,Wylie,Collin,75098,Primary Care Site,33.0897059,-80.2661354,8
Hope Clinic - Ennis,805 W Lampasas St,Ennis,Ellis,75119,Unknown,32.3193206,-96.6324766,9
Community Health Service Agency - Kaufman Community Health Center,101 N Houston,Kaufman,Kaufman,75142,Primary Care Site,30.0103077,-95.2575815,10
Mission East Dallas - Dental,4550 Gus Thomasson Rd,Mesquite,Dallas,75150,Unknown,32.825842,-96.6470255,11
Hope Clinic - Administrative Offices,201 Ferris Ave,Waxahachie,Ellis,75165,Administrative only,41.042381,-73.7743834,12
Hope Clinic - Billing and Accounting Offices,201 Ferris Ave,Waxahachie,Ellis,75165,Administrative only,41.042381,-73.7743834,13
Ellis County Hope Clinic Coalition for Health Options dba Hope Clinic,411 E Jefferson St,Waxahachie,Ellis,75165,Primary Care Site,33.4466759,-112.066814,14
Foremost Family Health Center - Balch Springs,3515 Shepherd Ln,Balch Spings,Dallas,75180,Primary Care Site,32.7216024,-96.6146805,15
Los Barrios Unidos Community Clinic - Health Center,4732 W Illinois St,Dallas,Dallas,75211,Primary Care Site,41.8908041,-87.6334722,16
Los Barrios Unidos Community Clinic - Pediatric Services,3111 Sylvan Ave,Dallas,Dallas,75212,Primary Care Site,32.7801673,-96.8361477,17
"Los Barrios Unidos Community Clinic - Family, Women's Health, Dental, and WIC",809 Singleton Blvd,Dallas,Dallas,75212,Primary Care Site,32.7789297,-96.8363155,18
Foremost Family Health Center,"2922 Martin Luther King, Jr. Blvd",Dallas,Dallas,75215,Primary Care Site,,,19
Mission East Dallas - Medical,2914 Oates Dr,Dallas,Dallas,75228,Primary Care Site,32.8210609,-96.6647517,20
Healing Hands Ministries Inc. - Vickery,5750 Pineland,Dallas,Dallas,75231,Primary Care Site,32.877968,-96.7580102,21
DALLAS COUNTY HOSPITAL DISTRICT,5201 HARRY HINES BLVD,Dallas,Dallas,75235,Unknown,32.8105277,-96.8376573,22
Los Barrios Unidos Community Clinic - Urban Inter-Tribal Center of Texas WIC Clinic,1283 Record Crossing,Dallas,Dallas,75235,WIC only,32.8160041,-96.8614842,23
Healing Hands Ministries Inc. - Greenville,8515 Greenville Ave,Dallas,Dallas,75243,Primary Care Site,32.8946471,-96.754342,24
Community Health Service Agency - Greenville Community Health Center,4311 Wesley St,Greenville,Hunt,75401,Primary Care Site,33.1264583,-96.1086799,25
Community Health Service Agency - Women's Center of Greenville,4311 B Wesley St,Greenville,Hunt,75401,Primary Care Site,33.1261916,-96.1087627,26
Community Health Service Agency - Administration Office,4500 Wesley St,Greenville,Hunt,75401,Administrative only,33.1248379,-96.1095906,27
Community Health Service Agency - Dental,3600 Caddo St,Greenville,Hunt,75401,Primary Care Site,32.8022837,-96.7894567,28
Community Health Service Agency - Pediatric Center of Greenville,3005 A Joe Ramsey Blvd,Greenville,Hunt,75402,Primary Care Site,33.119877,-96.111112,29
Community Health Service Agency - Patient Support Center,2824 Terrell St,Greenville,Hunt,75402,Administrative only,,,30
Community Health Service Agency - Bonham Community Health Center,920 N Center St,Bonham,Fannin,75418,Primary Care Site,33.4320135,-111.8317308,31
Community Health Service Agency - Cooper Community Health Center,91 W Side Sq,Cooper,Delta,75432,Primary Care Site,33.3744159,-95.6890657,32
Community Health Service Agency - Farmersville Family Medical Center,111 N Johnson St,Farmersville,Collin,75442,Primary Care Site,29.7132825,-95.2068982,33
Special Health Resources - Paris Care Clinic,3150 Clarksville St,Paris,Lamar,75460,Primary Care Site,33.647611,-95.517608,34
Special Health Resources - Texarkana Care Clinic,1102 Main St,Texarkana,Bowie,75501,Primary Care Site,,,35
Genesis PrimeCare - Texarkana OB/GYN,2602 St. Michael Dr,Texarkana,Bowie,75503,Primary Care Site,33.4629092,-94.0753748,36
Genesis PrimeCare - Texarkana Medical Clinic,1400 College Dr,Texarkana,Bowie,75503,Primary Care Site,30.4356435,-91.1332823,37
Genesis PrimeCare - Ellington Memorial Clinic,1011 S William St,Atlanta,Cass,75551,Unknown,41.4965189,-74.0178735,38
Wellness Pointe - Longview Center,315 N Center St,Longview,Gregg,75601,Primary Care Site,33.4215029,-111.8307526,39
Wellness Pointe - Longview,1107 E Marshall Ave,Longview,Gregg,75601,Primary Care Site,32.5038842,-94.7245963,40
Special Health Resources - Woman & Child Health Center of Longview,402 N 7th St,Longview,Gregg,75601,Primary Care Site,33.4523809,-112.0651667,41
Special Health Resources - Med Plaza Pediatrics,703 E Marshall Ave,Longview,Gregg,75601,Primary Care Site,32.5026355,-94.730394,42
Genesis PrimeCare - Longview Medical Clinic,2131 S Mobberly,Longview,Gregg,75602,Primary Care Site,32.4673298,-94.7311283,43
Wellness Pointe - Longview South,2430 S High St,Longview,Gregg,75602,Primary Care Site,39.912244,-82.9949929,44
Special Health Resources - Jim Meyers Comprehensive Health Center,410 N 4th St,Longview,Gregg,75602,Primary Care Site,40.7169714,-73.9607879,45
Wellness Pointe - Longview North,805 Medical Circle Dr,Longview,Gregg,75604,Primary Care Site,32.5351139,-94.7297536,46
Wellness Pointe - Gilmer,602 Titus St,Gilmer,Upshur,75644,Primary Care Site,,,47
Crossroads Family Care - Dental,1115 Hwy 259 S,Henderson,Rusk,75654,Primary Care Site,,,48
Crossroads Family Care - Henderson,1115 Hwy 259 S,Henderson,Rusk,75654,Primary Care Site,,,49
Genesis PrimeCare - Jefferson,106 N Alley,Jefferson,Marion,75657,Primary Care Site,,,50
Wellness Pointe - Kilgore,1711 South Henderson Blvd,Kilgore,Gregg,75662,Primary Care Site,32.373062,-94.8701751,51
Genesis PrimeCare - Marshall Pediatrics,618 S Grove St,Marshall,Harrison,75670,Primary Care Site,38.7860366,-121.2326625,52
Genesis PrimeCare - Marshall Pediatrics,707 S Grove St,Marshall,Harrison,75670,Primary Care Site,38.7860366,-121.2326625,53
Genesis PrimeCare - Marshall,805 Lindsey Dr,Marshall,Harrison,75670,Primary Care Site,,,54
Genesis PrimeCare - Marshall Pediatrics,620 S Grove St,Marshall,Harrison,75670,Primary Care Site,,,55
Crossroads Family Care - Mt. Enterprise,P.O. Box 489,Mt. Enterprise,Rusk,75681,Primary Care Site,,,56
Special Health Resources - Tyler Care Clinic,1300 Clinic Dr,Tyler,Smith,75701,Primary Care Site,,,57
FAMILY Circle of Care - North Broadway Pediatric Clinic,2990 N Broadway,Tyler,Smith,75702,Primary Care Site,41.9364563,-87.6445469,58
FAMILY Circle of Care - Houston Pediatric Clinic,214 E Houston,Tyler,Smith,75702,Primary Care Site,40.7223072,-73.986764,59
FAMILY Circle of Care - Administration Annex,523 S Fannin Ave,Tyler,Smith,75702,Administrative only,33.7515035,-96.5419813,60
FAMILY Circle of Care - Glenwood Clinic,928 N Glenwood Blvd,Tyler,Smith,75702,Primary Care Site,32.3605173,-95.3201715,61
FAMILY Circle of Care - Athens Clinic,1001 N Palestine,Athens,Henderson,75751,Primary Care Site,32.2180689,-95.8537157,62
FAMILY Circle of Care - Jacksonville Clinic,510 E Commerce St,Jacksonville,Cherokee,75766,Primary Care Site,29.4237643,-98.4878929,63
Crossroads Family Care - Palestine,205 E Brazos St,Palestine,Anderson,75801,Primary Care Site,31.7540133,-95.6277852,64
HealthPoint - Centerville,607 Lassater,Centerville,Leon,75833,Primary Care Site,31.246955,-95.9814956,65
"East Texas Community Health Services - Lufkin Community Clinic, Medical",1316 Lakeview St,Lufkin,Angelina,75904,Primary Care Site,28.0539346,-81.9123706,66
The HOPE Project - Community Medicine,620 Tenaha St,Center,Shelby,75935,Primary Care Site,31.8044031,-94.187718,67
Gulf Coast Health Center - Jasper,103 W Gibson St,Jasper,Jasper,75951,Primary Care Site,30.250014,-97.7495456,68
"East Texas Community Health Services - Eastside Community Clinic, Medical",1309 S University Dr,Nacogdoches,Nacogdoches,75961,Primary Care Site,26.1049481,-80.2506272,69
East Texas Community Health Services - Administration Office,1401 S University Dr,Nacogdoches,Nacogdoches,75961,Administrative only,26.1017391,-80.2504713,70
"East Texas Community Health Services - Westside Community Clinic, Dental",1210 Douglass Rd,Nacogdoches,Nacogdoches,75963,Primary Care Site,34.8010466,-86.7078359,71
The HOPE Project - Dental,164 Wall St,Tenaha,Shelby,75974,Other services only,40.7047434,-74.0062274,72
The HOPE Project,157 Wall St,Tenaha,Shelby,75974,Primary Care Site,40.7041717,-74.0067113,73
North Texas Area Community Health Centers - Arlington Community Health Center,979 N Cooper,Arlington,Tarrant,76011,Primary Care Site,41.1414189,-87.3549756,74
North Texas Area Community Health Centers - Southeast Community Health Center,2909 Mitchell Blvd,Fort Worth,Tarrant,76105,Primary Care Site,32.7167695,-97.2884155,75
North Texas Area Community Health Centers - Northside Community Health Center,2106 N Main St,Fort Worth,Tarrant,76164,Primary Care Site,,,76
Health Services of North Texas - Elm Street Center,821 N Elm St,Denton,Denton,76201,Primary Care Site,36.0841534,-79.7893613,77
Health Services of North Texas - Denton Medical Center,4304 Mesa Dr,Denton,Denton,76207,Primary Care Site,33.234491,-97.1766665,78
Health Services of North Texas - Headquarters,4401 N IH 35,Denton,Denton,76207,Enabling services only,30.5676554,-97.6900497,79
Health Services of North Texas - Denton Medical Center,4310 Mesa Dr,Denton,Denton,76207,Primary Care Site,,,80
Health Services of North Texas - Denton Medical Center,4308 Mesa Dr,Denton,Denton,76207,Primary Care Site,,,81
Health Services of North Texas - Denton South Center,3537 South IH 35,Denton,Denton,76210,Primary Care Site,30.225163,-97.7467194,82
Community Healthcare Center - Family Medicine Residency Site,1301 3rd St,Wichita Falls,Wichita,76301,Primary Care Site,42.3298972,-83.0578672,83
Community Healthcare Center - Phyllis Hiraki Dental Clinic,110 Lee St,Wichita Falls,Wichita,76301,Primary Care Site,38.0318009,-78.4983835,84
Community Healthcare Center - Juarez Medical Clinic,1000 A Juarez St,Wichita Falls,Wichita,76301,Primary Care Site,31.6903638,-106.4245478,85
Community Healthcare Center,"200 Martin Luther King, Jr. Blvd",Wichita Falls,Wichita,76307,Primary Care Site,33.9202138,-98.4910208,86
AccelHealth - Stephenville Dental Clinic,135 River North Blvd,Stephenville,Erath,76401,Primary Care Site,32.2275781,-98.23168,87
AccelHealth - Stephenville Medical Clinic,135 River North Blvd,Stephenville,Erath,76401,Primary Care Site,32.2275781,-98.23168,88
ResourceCare - Breckenridge,2802 W Walker St,Breckenridge,Stephens,76424,Primary Care Site,29.475265,-95.0914536,89
ResourceCare - Breckenridge Dental,2802 W Walker St,Breckenridge,Stephens,76424,Primary Care Site,29.475265,-95.0914536,90
ResourceCare - Albany,725 Pate St,Albany,Shackelford,76430,Primary Care Site,32.4289714,-104.2542813,91
ResourceCare - Albany Dental,725 Pate St,Albany,Shackelford,76430,Primary Care Site,32.4289714,-104.2542813,92
ResourceCare - Cross Plains Dental,200 N Main St,Cross Plains,Callahan,76443,Primary Care Site,34.0530795,-118.2418352,93
ResourceCare - Cross Plains,301 S Main,Cross Plains,Callahan,76443,Primary Care Site,,,94
AccelHealth - DeLeon Dental Clinic,1100 W Reynosa St,De Leon,Comanche,76444,Primary Care Site,32.1119702,-98.5474679,95
AccelHealth - DeLeon Medical Clinic & Administration,1100 W Reynosa St,De Leon,Comanche,76444,Primary Care Site,32.1119702,-98.5474679,96
Family Health Center - Community Clinic at Santa Fe,600 S 25th St,Temple,Bell,76504,Primary Care Site,27.4428361,-80.3497203,97
Lone Star Circle - Pediatrics at Harker Heights,200 Nola Ruth,Harker Heights,Bell,76548,Primary Care Site,31.0807974,-97.6407705,98
Lone Star Circle - Behavioral Health at Harker Heights,775 Indian Trl,Harker Heights,Bell,76548,Primary Care Site,,,99
Lone Star Circle - Pediatrics at Clear Creek,2300 S Clear Creek,Killeen,Bell,76549,Primary Care Site,31.1114856,-97.7992396,100
Lone Star Circle - Health Center at Taylor,601A Mallard Ln,Taylor,Williamson,76574,Primary Care Site,,,101
Family Health Center - McGregor Community Clinic Medical & Dental,500 S Johnson Dr,McGregor,McLennan,76657,Primary Care Site,31.4313617,-97.4174766,102
Family Health Center - Austin Avenue Clinic,110 S 12th St,Waco,McLennan,76701,Primary Care Site,39.9499058,-75.1603097,103
Family Health Center - Meyer Center Community Clinic,1226 Washington Ave,Waco,McLennan,76701,Primary Care Site,,,104
Family Health Center - Elm Avenue Community Clinic Medical & Dental,609 Elm Ave,Waco,McLennan,76704,Primary Care Site,39.1022615,-84.5171932,105
Family Health Center - Martin Luther King Community Clinic,1911 N Martin Luther King Blvd,Waco,McLennan,76704,Primary Care Site,36.1934358,-115.1608957,106
Family Health Center - Bellmead Community Clinic,3400 Bellmead Dr,Bellmead,McLennan,76705,Primary Care Site,31.5926991,-97.0981379,107
Family Health Center - Bell's Hill Community Clinic,911 S 20th St,Waco,McLennan,76706,Primary Care Site,42.9452683,-87.9392756,108
Family Health Center - South 18th Street Community Clinic Medical & Dental,1800 Gurley Ln,Waco,McLennan,76706,Primary Care Site,31.5245133,-97.1185881,109
Family Health Center - Family Counseling and Children's Services (At Main Site),1600 Providence Dr,Waco,McLennan,76707,Primary Care Site,31.5591889,-97.152823,110
Family Health Center - Madison Cooper Community Clinic Medical & Dental,1610 Providence Dr,Waco,McLennan,76707,Primary Care Site,31.5589432,-97.1543219,111
Family Health Center - Main Site,1600 Providence Dr,Waco,McLennan,76707,Primary Care Site,,,112
Family Health Center - Community Clinic at MCC,4601 N 19th St,Waco,McLennan,76708,Primary Care Site,43.1005896,-87.9333898,113
Family Health Center - MacArthur Pediatrics,2201 MacArthur Dr,Waco,McLennan,76708,Primary Care Site,,,114
Family Health Center - Women's Health Center,120 Hillcrest Medical Blvd,Waco,McLennan,76712,Primary Care Site,31.487599,-97.1577729,115
Family Health Center - West Waco Community Clinic,600 W State Hwy 6,Waco,McLennan,76712,Primary Care Site,29.4491113,-95.3047946,116
AccelHealth - Brownwood Medical Clinic,3804 Hwy 377 S,Brownwood,Brown,76801,Primary Care Site,32.1157542,-98.3228373,117
AccelHealth - Brownwood Dental Clinic,104 S Park Dr,Brownwood,Brown,76801,Primary Care Site,30.6109938,-81.5424118,118
Frontera Healthcare Network - Brady Clinic,2205 S Bridge St,Brady,McCulloch,76825,Primary Care Site,40.5626152,-74.6133637,119
Frontera Healthcare Network - Brady Dental,1211 S Bridge St,Brady,McCulloch,76825,Other services only,40.5626152,-74.6133637,120
Frontera Healthcare Network - Eden Clinic,551 Eaker St,Eden,Concho,76837,Primary Care Site,31.2206232,-99.8469804,121
Frontera Healthcare Network - Eden Dental,212 Jackson St,Eden,Concho,76837,Other services only,,,122
Frontera Healthcare Network,"604 Eaker Street, P.O. Box 989",Eden,Concho,76837,Primary Care Site,31.2212743,-99.8474383,123
Frontera Healthcare Network - Junction Clinic,509 College St,Junction,Kimble,76849,Primary Care Site,41.3066432,-72.929118,124
Frontera Healthcare Network - Mason Clinic,216 E College St,Mason,Mason,76856,Primary Care Site,41.6589199,-91.5324552,125
Frontera Healthcare Network - Menard Clinic,119 S Ellis,Menard,Menard,76859,Primary Care Site,33.5917503,-84.0122427,126
"La Esperanza Clinic, Inc. - Administrative Offices",2033 W Beauregard,San Angelo,Tom Green,76901,Administrative only,31.4513885,-100.4634979,127
"La Esperanza Clinic, Inc. - Lakeview Clinic",35 E 31st St,San Angelo,Tom Green,76903,Primary Care Site,40.7447176,-73.9816409,128
"La Esperanza Clinic, Inc.",1610 S Chadbourne,San Angelo,Tom Green,76903,Primary Care Site,37.5426609,-121.9400193,129
Harris Health System - Salvation Army Sally's House,1717 Congress St,Houston,Harris,77002,Primary Care Site,43.6570169,-70.259692,130
Harris Health System - SEARCH,2015 Congress Ave,Houston,Harris,77002,Enabling services only,30.2803463,-97.7383286,131
Harris Health System - Star of Hope Mission Men's Development Center,1811 Ruiz St,Houston,Harris,77002,Primary Care Site,29.7606139,-95.3515034,132
Harris Health System - Compass,1212 Prairie St,Houston,Harris,77002,Enabling services only,29.7591828,-95.3599936,133
Star of Hope Men's Development Center,1811 Ruiz,Houston,Harris,77002,Primary Care Site,38.8003913,-90.3307842,134
Caroline Street Clinic,1934 Caroline,Houston,Harris,77002,Primary Care Site,,,135
Harris Health System - Salvation Army Family Residence,1603 McGowen St,Houston,Harris,77004,Primary Care Site,29.7423929,-95.3684794,136
Harris Health System - Lord of the Streets,3401 Fannin St,Houston,Harris,77004,Primary Care Site,29.739528,-95.3769851,137
Central Care Integrated Health Services - Riverside,3315 Delano St,Houston,Harris,77004,Primary Care Site,29.7311756,-95.3618108,138
Avenue 360 - Bering Omega Dental Clinic,1427 Hawthorne St,Houston,Harris,77006,Other services only,29.7423153,-95.3948012,139
Legacy - Montrose Campus,1415 California St,Houston,Harris,77006,Primary Care Site,29.7450095,-95.3940369,140
Legacy - Branard Campus,401 Branard St,Houston,Harris,77006,Primary Care Site,29.7365169,-95.3846775,141
Legacy - Montrose Center Clinic,401 Branard St,Houston,Harris,77006,Primary Care Site,29.7365169,-95.3846775,142
Good Neighbor Healthcare Center,190 Heights Blvd.,Houston,Harris,77007,Primary Care Site,29.7735866,-95.3966547,143
Harris Health System - Salvation Army Adult Rehabilitation Center,2118 Washington Ave,Houston,Harris,77007,Primary Care Site,41.8704401,-95.4171635,144
Harris Health System - Harmony House Respite Center,602 Girard St,Houston,Harris,77007,Primary Care Site,38.9266796,-76.9981993,145
Houston Area Community Services dba Avenue 360,2150 W 18th St,Houston,Harris,77008,Primary Care Site,29.8013376,-95.4370871,146
El Centro de Corazon - Magnolia Health Center,7037 Capitol St,Houston,Harris,77011,Primary Care Site,29.7345052,-95.301021,147
Harris Health System - Open Door Mission,5803 Harrisburg Blvd,Houston,Harris,77011,Primary Care Site,29.7407579,-95.3166834,148
El Centro de Corazon - Dunn Health Center,7635 Canal St,Houston,Harris,77012,Primary Care Site,29.7358007,-95.2877409,149
Legacy - YES PREP East End,8329 Lawndale St,Houston,Harris,77012,Primary Care Site,29.7160632,-95.2748144,150
Harris Health System - Crossroads,3827 Broadway Blvd,Houston,Harris,77017,Enabling services only,32.8670333,-96.608616,151
Legacy - KIPP Southeast,8805 Ferndale,Houston,Harris,77017,Primary Care Site,40.5762406,-124.2639442,152
Harris Health System - Jackson Hinds Gardens,607 Thornton Rd,Houston,Harris,77018,Primary Care Site,29.8323562,-95.420743,153
Central Care Integrated Health Services - Acres Home,1102A Pinemont,Houston,Harris,77018,Primary Care Site,29.8413749,-95.4232248,154
Vecino -  Denver Harbor Family Medicine Clinic,424 Hahlo St,Houston,Harris,77020,Primary Care Site,,,155
Vecino - Denver Harbor Dental Clinic,424B Hahlo St,Houston,Harris,77020,Primary Care Site,,,156
Legacy - Lyons Campus,3811 Lyons Ave,Houston,Harris,77020,Primary Care Site,29.7762137,-95.331552,157
Legacy - YES PREP Fifth Ward,1305 Benson,Houston,Harris,77020,Primary Care Site,,,158
Legacy - KIPP Third Ward Campus,5400 MLK Blvd,Houston,Harris,77021,Primary Care Site,27.9962938,-82.2128299,159
Legacy - KIPP North Campus,500 Tidwell,Houston,Harris,77022,Primary Care Site,29.8437603,-95.3695015,160
Central Care Integrated Health Services - 96 Berry Rd,96 Berry Rd,Houston,Harris,77022,Primary Care Site,29.8371426,-95.3765135,161
El Centro de Corazon - Eastwood Health Center,412 Telephone Rd,Houston,Harris,77023,Primary Care Site,29.7377637,-95.3328939,162
Legacy - KIPP East End Campus,5402 Lawndale St,Houston,Harris,77023,Primary Care Site,29.7266083,-95.3228619,163
Legacy - Santa Clara Campus,5616 Lawndale St,Houston,Harris,77023,Primary Care Site,29.7261181,-95.3167038,164
Avenue 360 - Baustista Pediatric Health Center,902 Frostwood,Houston,Harris,77024,Primary Care Site,29.7801026,-95.5467989,165
Bee Busy Wellness Center - Braes Oaks Location,8785 W Bellfort St,Houston,Harris,77031,Unknown,29.6551064,-95.5303226,166
Legacy - YES PREP Brays Oaks,9000 W Bellfort Ave,Houston,Harris,77031,Primary Care Site,29.6571622,-95.5342404,167
Legacy - YES PREP Southside,5515 S Loop E,Houston,Harris,77033,Primary Care Site,29.6884259,-95.3362411,168
Central Care Integrated Health Services - MLK,"8610 Martin Luther King, Jr. Blvd",Houston,Harris,77033,Primary Care Site,,,169
Central Care Integrated Health Services - Hillcroft (Southwest),14087 S Main St,Houston,Harris,77035,Primary Care Site,,,170
Asian American Health Coalition dba HOPE Clinic,7001 Corporate Dr,Houston,Harris,77036,Primary Care Site,29.7034518,-95.5507524,171
Bee Busy Wellness Center - Westchase Location,9896 Bissonnet,Houston,Harris,77036,Primary Care Site,29.6780351,-95.5526157,172
Spring Branch Community Health Center - Administraton,800 W Sam Houston Pkwy S,Houston,Harris,77042,Administrative only,29.7530258,-95.5588351,173
Legacy - KIPP Sunnyside Campus,11000 Scott St,Houston,Harris,77047,Primary Care Site,,,174
Legacy - YES PREP North Forest,6602 Winfield Rd,Houston,Harris,77050,Primary Care Site,29.8984568,-95.2917338,175
Legacy - YES PREP Southwest,4411 Anderson Rd,"Houston, TX",Harris,77053,Primary Care Site,36.0881393,-86.6070656,176
Harris Health System - Star of Hope Cornerstone,2575 Reed Rd,Houston,Harris,77054,Primary Care Site,29.6596741,-95.3925105,177
Spring Branch Community Health Center - WholeLife Service Center,1905 Jacquelyn Dr,Houston,Harris,77055,Primary Care Site,29.8051503,-95.481178,178
